N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
101,한화생명,"3,870",30,+0.78%,"5,000","33,612","868,530",7.71,"3,135,125",7.18,1.90,
102,일진머티리얼즈,"72,400",300,+0.42%,500,"33,384","46,111",9.32,"277,607",83.03,7.23,
103,롯데쇼핑,"115,500","1,000",-0.86%,"5,000","32,674","28,289",11.00,"33,640",-4.34,-7.70,
104,씨에스윈드,"77,200",900,-1.15%,500,"32,556","42,171",10.43,"167,200",62.21,8.19,
105,한화시스템,"17,150",100,+0.59%,"5,000","32,400","188,919",2.48,"473,951",19.62,9.35,
106,두산퓨얼셀,"49,050",350,+0.72%,100,"32,125","65,494",11.76,"264,073",277.12,4.18,
107,한국항공우주,"32,850",200,+0.61%,"5,000","32,021","97,475",13.02,"468,414",415.82,6.39,
108,메리츠증권,"4,670",5,-0.11%,"1,000","31,837","681,731",14.13,"933,643",5.16,13.08,
109,BGF리테일,"183,500","1,500",-0.81%,"1,000","31,716","17,284",32.31,"6,538",25.06,18.60,
110,CJ,"108,000","1,500",+1.41%,"5,000","31,511","29,177",17.68,"46,605",-284.96,1.89,
111,에스원,"81,100",400,-0.49%,500,"30,817","37,999",54.54,"17,954",20.62,10.48,
112,만도,"65,400",200,-0.30%,"1,000","30,710","46,957",24.83,"310,339",65.99,0.37,
113,SK케미칼,"260,000","1,000",-0.38%,"5,000","30,554","11,751",18.40,"31,226",11.80,30.49,
114,동서,"30,450",500,-1.62%,500,"30,359","99,700",3.55,"55,858",26.55,8.61,
115,KCC,"335,000","2,000",+0.60%,"5,000","29,770","8,886",12.22,"58,538",3.46,12.79,
116,포스코인터내셔널,"23,850",100,+0.42%,"5,000","29,425","123,375",11.88,"731,903",11.38,7.69,
117,LG화학우,"380,500",0,0.00%,"5,000","29,256","7,689",66.33,"4,593",16.56,N/A,
118,제일기획,"24,800",150,+0.61%,200,"28,530","115,041",33.74,"109,501",17.20,16.11,
119,현대차우,"117,000",500,-0.43%,"5,000","28,497","24,357",58.77,"23,248",14.16,N/A,
120,GS리테일,"37,000",0,0.00%,"1,000","28,490","77,000",10.34,"172,811",19.01,7.50,
121,한솔케미칼,"248,500",500,-0.20%,"5,000","28,168","11,335",41.88,"17,141",21.72,24.50,
122,신세계,"286,000","2,000",+0.70%,"5,000","28,157","9,845",27.04,"102,996",-88.08,-2.81,
123,현대위아,"103,500","4,000",-3.72%,"5,000","28,147","27,195",7.71,"497,329",182.86,1.96,
124,OCI,"117,000",0,0.00%,"5,000","27,904","23,849",15.64,"96,811",-18.34,-9.89,
125,DL이앤씨,"138,000","1,000",+0.73%,"5,000","26,715","19,359",27.82,"75,775",N/A,N/A,
126,현대로템,"24,350",500,+2.10%,"5,000","26,576","109,142",4.44,"1,498,477",56.37,2.84,
127,메리츠금융지주,"19,750",450,+2.33%,500,"26,467","134,011",7.92,"101,078",4.62,16.06,
128,DB하이텍,"59,500",600,-1.00%,"5,000","26,417","44,399",16.05,"636,500",16.68,23.07,
129,하이트진로,"37,600",200,-0.53%,"5,000","26,370","70,134",7.42,"166,149",32.53,8.23,
130,대웅,"45,350","1,800",+4.13%,500,"26,367","58,142",3.62,"769,140",30.64,15.10,
131,대한전선,"3,050",85,-2.71%,500,"26,122","856,473",2.17,"20,213,395",217.86,0.92,
132,BNK금융지주,"7,880",20,+0.25%,"5,000","25,684","325,935",38.57,"983,745",4.47,6.11,
133,KODEX 단기채권,"102,790",15,-0.01%,0,"24,926","24,249",0.00,"39,291",N/A,N/A,
134,한샘,"105,000",0,0.00%,"1,000","24,711","23,534",22.76,"23,941",33.69,10.83,
135,더존비즈온,"81,300",500,-0.61%,500,"24,667","30,341",38.50,"69,210",45.27,15.09,
136,한화,"31,700",0,0.00%,"5,000","23,762","74,959",18.21,"243,388",8.12,4.79,
137,메리츠화재,"19,650",250,+1.29%,500,"23,703","120,625",11.02,"391,303",4.97,16.91,
138,한화에어로스페이스,"46,800",350,+0.75%,"5,000","23,695","50,630",19.39,"507,451",10.61,4.78,
139,현대해상,"26,300",900,+3.54%,500,"23,512","89,400",29.17,"1,382,288",6.36,7.13,
140,KODEX 200선물인버스2X,"1,850",5,+0.27%,0,"23,188","1,253,400",2.89,"57,992,932",N/A,N/A,
141,LS,"69,600",500,-0.71%,"5,000","22,411","32,200",14.69,"36,272",12.26,3.94,
142,동국제강,"23,150",600,+2.66%,"5,000","22,093","95,433",21.97,"2,015,195",10.49,3.35,
143,TIGER 200,"43,915",70,-0.16%,0,"21,914","49,900",0.17,"230,957",N/A,N/A,
144,효성,"103,000",500,-0.48%,"5,000","21,703","21,071",9.68,"22,137",76.98,-2.26,
145,금호타이어,"7,550",110,+1.48%,"5,000","21,688","287,260",4.26,"598,813",-142.45,-6.74,
146,현대엘리베이,"53,000",200,+0.38%,"5,000","21,632","40,815",29.10,"174,165",19.33,9.78,
147,코오롱인더,"77,300","4,100",+5.60%,"5,000","20,855","26,979",17.66,"555,561",25.61,9.70,
148,현대백화점,"88,000","1,200",-1.35%,"5,000","20,594","23,402",20.23,"87,087",21.12,1.65,
149,HDC현대산업개발,"31,050",200,+0.65%,"5,000","20,464","65,907",11.12,"534,511",9.89,8.85,
150,KG동부제철,"20,250",50,+0.25%,"5,000","20,252","100,009",0.32,"278,384",22.45,7.18,
151,오뚜기,"543,000",0,0.00%,"5,000","19,939","3,672",13.07,"1,844",20.59,7.93,
152,대웅제약,"169,500",0,0.00%,"2,500","19,639","11,587",5.60,"92,142",-178.05,2.38,
153,영원무역,"44,050",500,+1.15%,500,"19,519","44,311",26.75,"56,290",12.63,8.03,
154,한전기술,"50,800",200,+0.40%,200,"19,416","38,220",2.61,"123,752",115.98,N/A,
155,한국앤컴퍼니,"20,350",50,+0.25%,500,"19,319","94,935",10.02,"61,913",9.38,5.08,
156,농심,"316,000","1,000",-0.32%,"5,000","19,221","6,083",13.81,"11,567",14.93,7.50,
157,한전KPS,"42,550",200,-0.47%,200,"19,148","45,000",8.90,"150,413",17.74,8.23,
158,KODEX 삼성그룹,"10,285",0,0.00%,0,"18,842","183,200",0.05,"98,833",N/A,N/A,
159,효성첨단소재,"419,500","9,500",-2.21%,"5,000","18,793","4,480",11.09,"60,752",51.78,0.03,
160,진원생명과학,"41,250",250,-0.60%,"1,000","18,640","45,189",14.93,"3,574,489",-94.39,-30.43,
161,프레스티지바이오파마,"31,000",950,+3.16%,0,"18,630","60,096",63.70,"576,629",-92.26,N/A,
162,아이에스동서,"59,400",900,+1.54%,500,"18,350","30,893",4.86,"50,201",14.35,10.92,
163,에스엘,"36,150","1,200",-3.21%,500,"17,425","48,203",17.07,"246,122",15.79,4.74,
164,DL,"80,100",300,+0.38%,"5,000","16,786","20,956",15.97,"48,128",4.30,11.84,
165,LS ELECTRIC,"55,600",200,-0.36%,"5,000","16,680","30,000",14.25,"32,258",21.20,6.15,
166,롯데정밀화학,"64,000",400,+0.63%,"5,000","16,512","25,800",20.17,"58,207",8.42,12.65,
167,KODEX 단기채권PLUS,"103,080",15,-0.01%,0,"16,442","15,951",0.00,"104,529",N/A,N/A,
168,LG생활건강우,"772,000","13,000",-1.66%,"5,000","16,210","2,100",85.41,"1,217",16.64,N/A,
169,한미반도체,"32,700",0,0.00%,200,"16,173","49,460",6.37,"151,678",26.72,21.03,
